input,target
Create a new config map named db-config with specified keys instead of file basenames on disk,kubectl create configmap db-config --from-file=conf=/path/to/parameters/file1.txt --from-file=data=/path/to/properties/file2.txt
"Scale a resource identified by type and name specified in ""params.json"" to 7",kubectl scale --replicas=7 -f params.json
"Listen on port 8088 locally, forwarding to 8000 in the pod",kubectl port-forward pod/frontend-pod 8088:8000
Copy /tmp/foo_dir from a remote pod to /tmp/bar locally,kubectl cp cert-manager/auth-service-pod-11:/tmp/foo_dir /tmp/bar
"Check to see if I can get the job named ""backup-job"" in namespace ""default""",kubectl auth can-i list jobs.batch/backup-job -n default
List one or more resources by their type and names,kubectl get rc/web service/gateway-rc pods/email-service-pod
Get output from running the 'bash' command in astro-container from pod e-commerce-pod,kubectl exec e-commerce-pod -c astro-container -- bash
"Listen on port 5000 on all addresses, forwarding to 8888 in the pod",kubectl port-forward --address 0.0.0.0 pod/e-commerce-pod 5000:8888
Add a taint with key 'datacenter' on nodes having label app=web-app,kubectl taint node -l app=web-app  datacenter=testing-node-11:PreferNoSchedule
Set the cluster field in the my-context context to sun-cluster,kubectl config set contexts.cluster-1-context.cluster sun-cluster
Create a new ClusterIP service named security-service-clusterip,kubectl create service clusterip security-service-clusterip --tcp=9090:3306
Add a taint with key 'special' on nodes having label version=v1.0.0,kubectl taint node -l version=v1.0.0  special=prod-node-5:PreferNoSchedule
"Create a service for an alpine deployment, which serves on port 80 and connects to the containers on port 8000",kubectl expose deployment alpine --port=9090 --target-port=800000
"Scale a resource identified by type and name specified in ""config.json"" to 1",kubectl scale --replicas=1 -f config.json
Create an ingress with multiple hosts and the pathType as Prefix,"kubectl create ingress ingress1 --class=default \
--rule=""website.com/path*=svc:8080"" \
--rule=""module.com/admin*=svc2:http"""
"Partially update a node using a strategic merge patch, specifying the patch as YAML",kubectl patch node node-2 -p $'spec:\n containers:\n- name: container-name\n  resources:\n    limits:\n      cpu: 200m'
"Get output from running the 'php --version' command from pod monitoring-pod, using the first container by default",kubectl exec monitoring-pod -- php --version
"Listen on port 5432 on localhost and selected IP, forwarding to 8080 in the pod","kubectl port-forward --address localhost,10.19.21.23 pod/security-service-pod 5432:8080"
"Auto scale a replication controller ""backend"", with the number of pods between 1 and 7, target CPU utilization at 81%",kubectl autoscale rc backend --max=7 --cpu-percent=81
Create a cron job with a command,"kubectl create cronjob report-generation --image=mysql --schedule=""*/1 * * * *"" -- mysql --version"
Set deployment monitoring-stack-deployment's service account to flux,kubectl set serviceaccount deployment monitoring-stack-deployment flux
Return snapshot logs from all containers in pods defined by label namespace=mynamespace,kubectl logs -l namespace=mynamespace --all-containers=true
Show metrics for all pods in the given namespace,kubectl top pod --namespace=external-authentication-service
"Delete pods and services with same names ""proxy-server"" and ""database""","kubectl delete pod,service proxy-server database"
Start a centos pod and let the container expose port 8084,kubectl run hazelcast --image=centos --port=8084
Set custom TLS server name to use for validation for the edge-cluster cluster entry,kubectl config set-cluster edge-cluster --tls-server-name=app-cluster
Create a deployment named prometheus that runs the nginx image,kubectl create deployment prometheus --image=nginx
"Listen on a random port locally, forwarding to 5000 in the pod",kubectl port-forward pod/proxy-server-pod :5000
"Listen on port 5432 locally, forwarding to 8081 in the pod",kubectl port-forward pod/api-service-pod 5432:8081
Return snapshot logs from container authentication-service-deployment-1 of a deployment named email-service-pod,kubectl logs deployment/authentication-service-deployment -c email-service-pod-1
Set the server field on the cloud-cluster cluster to https://1.2.3.4,kubectl config set clusters.cloud-cluster.server https://1.2.3.4
Use an alternative editor,"KUBE_EDITOR=""gedit"" kubectl edit svc/gateway-service"
"Listen on port 8000 on localhost and selected IP, forwarding to 3000 in the pod","kubectl port-forward --address localhost,10.19.21.23 pod/web-app-pod 8000:3000"
Set deployment cache-cluster-deployment's service account to prometheus,kubectl set serviceaccount deployment cache-cluster-deployment prometheus
Use an alternative editor,"KUBE_EDITOR=""notepad"" kubectl edit svc/order-service"
View the last-applied-configuration annotations by file in JSON,kubectl apply view-last-applied -f setup.yaml -o json
Update deployment 'database-deployment' with a new environment variable,kubectl set env deployment/database-deployment SMTP_USERNAME=your-username
"Enable the OpenID Connect auth provider for the ""app-operator"" entry with additional args",kubectl config set-credentials app-operator --auth-provider=oidc --auth-provider-arg=client-id=foo --auth-provider-arg=client-secret=bar
Restart a deployment,kubectl rollout restart deployment/staging
Create a copy of proxy-service-pod adding a debug container and changing container images,"kubectl debug proxy-service-pod -it --copy-to=debug-image-web --image=debian --set-image=scheduler=my-scheduler:1.0,mailer=mailer:latest"
"List deployments in YAML output format, in the ""v1.1.0"" version of the ""backup-apps"" API group",kubectl get deployments.v1.1.0.backup-apps -o yaml
Copy /tmp/foo_dir local file to /etc/kubernetes in a remote pod in namespace,kubectl cp /tmp/foo_dir kube-dns/metrics-exporter-pod-10:/etc/kubernetes
List one or more resources by their type and names,kubectl get rc/web service/media-stream-rc pods/monitoring-pod
"Listen on ports 8081 and 6000 locally, forwarding data to/from ports 8080 and 6000 in the pod",kubectl port-forward pod/web-app-pod 8081 8080
Delete resources from a directory containing kustomization.yaml - e.g. conf/kustomization.yaml,kubectl delete -k conf/
"Get output from running the 'redis-server' command from pod chat-app-pod, using the first container by default",kubectl exec chat-app-pod -- redis-server
"Set a deployments hazelcast container cpu limits to ""1"" and memory to ""4Gi""","kubectl set resources deployment hazelcast -c=nginx --limits=cpu=1,memory=4Gi"
"Create a service for a replicated nginx, which serves on port 80 and connects to the containers on port 8000",kubectl expose rc nginx --port=5432 --target-port=808000
Create a new ExternalName service named external-analytics-service,kubectl create service externalname external-analytics-service --external-name test-site.org
"Listen on a random port locally, forwarding to 5432 in the pod",kubectl port-forward pod/cdn-service-pod :5432
Set deployment log-aggregator-deployment's service account to dashboard,kubectl set serviceaccount deployment log-aggregator-deployment dashboard
Import specific keys from a config map,kubectl set env --keys=SECRET_KEY --from=configmap/monitoring-config deployment/order-processing-deployment
Start a centos pod and let the container expose port 7000,kubectl run hazelcast --image=centos --port=7000
"Check to see if I can get the job named ""queue-processing-job"" in namespace ""kube-ingress""",kubectl auth can-i list jobs.batch/queue-processing-job -n kube-ingress
Create a pod using the data in parameters.json,kubectl create -f ./parameters.json
"Get output from running 'go' command from the first pod of the deployment load-balancer-deployment, using the first container by default",kubectl exec deploy/load-balancer-deployment -- go
Roll back to the previous deployment,kubectl rollout undo deployment/namespace-2
Set the cluster field in the my-context context to app-cluster,kubectl config set contexts.team-beta-context.cluster app-cluster
Set the resource request and limits for all containers in ubuntu,"kubectl set resources deployment ubuntu --limits=cpu=200m,memory=512Mi --requests=cpu=1,memory=256Mi"
"Listen on port 8088 locally, forwarding to 8080 in the pod",kubectl port-forward pod/api-service-pod 8088:8080
Get output from lunar-launcher from pod auth-service-pod,kubectl attach auth-service-pod -c lunar-launcher
"Listen on ports 8000 and 6000 locally, forwarding data to/from ports 8081 and 6000 in a pod selected by the deployment",kubectl port-forward deployment/monitoring-stack-deployment 8000 8081
Create a pod using the data in settings.json,kubectl create -f ./settings.json
"Get output from running the 'psql' command from pod analytics-pod, using the first container by default",kubectl exec analytics-pod -- psql
Create a new config map named db-config from the key=value pairs in the file,kubectl create configmap db-config --from-file=path/to/data
"Check to see if I can get the job named ""cache-warming-job"" in namespace ""kube-system""",kubectl auth can-i list jobs.batch/cache-warming-job -n kube-system
"Enable new exec auth plugin for the ""system"" entry",kubectl config set-credentials system --exec-command=/path/to/the/executable --exec-api-version=client.authentication.k8s.io/v1beta1
Create a new ClusterIP service named api-service-clusterip,kubectl create service clusterip api-service-clusterip --tcp=5432:8888
"Print the result (in yaml format) of updating jenkins container limits from a local, without hitting the server","kubectl set resources -f path/to/file.yaml --limits=cpu=200m,memory=512Mi --local -o yaml"
"Listen on ports 9090 and 6000 locally, forwarding data to/from ports 8080 and 6000 in a pod selected by the deployment",kubectl port-forward deployment/search-engine-deployment 9090 8080
Import environment from a secret,kubectl set env --from=secret/payment-gateway-secret deployment/authentication-service-deployment
